,地块编号,宗地位置,地块面积（平方米）,用途,限高,容积率,起始价格（万元）
200,郑政出〔2019〕4号（网）,代庄南街北、行云路东,35576.11,城镇住宅兼容零售商业、餐饮、旅馆、商务金融（地下交通服务场站用地）,＜120,"＞1.1,＜6.1",57125
201,郑政出〔2019〕5号（网）,张魏寨路南、建云街东,26684.72,城镇住宅（地下交通服务场站用地）,＜120,"＞1.1,＜4.9",38268
202,郑政出〔2019〕6号（网）,三官中路西、芦庄路北,44948.81,城镇住宅,＜60,"＞1.0,＜2.5",43651
203,郑政出〔2019〕7号（网）,少林路南、消防路西,5410.81,城镇住宅,＜80,"≥1.0,＜2.5",5324
204,郑政出〔2019〕3号（网）,景怡路北、贺庄新街东,65510.54,城镇住宅（地下为交通服务场站）,＜44、47、50,"＞1.1,＜2.4",64871
205,郑政出〔2018〕185号（网）,杨柳街东、金达路南,8820.35,零售商业、餐饮、旅馆兼容娱乐用地（地下交通服务场站用地）,＜80,＜4.2,9891
206,郑政出〔2018〕183号（网）,三全路南、园田北路东,64596.08,城镇住宅兼容零售商业、餐饮、旅馆、商务金融用地（地下为交通服务场站、零售商业、餐饮、旅馆用地）,＜100 （兼容商业、商务＜150）,"＞1.1,＜4.9",100775
207,郑政出〔2018〕184号（网）,天泰路东、鼎盛大道北,15014.08,零售商业、餐饮、旅馆用地,＜100,＜4.0,17061
208,郑政东出〔2018〕24号（网）,北三环路南、九如东路东,33048.30,城镇住宅,＜24,＞1.0；  ＜1.7,88000
209,郑政出〔2018〕178号（网）,凤凰路北、规划一路西,5900.12,城镇住宅（地下为交通服务场站）,＜100,"＞1.1,＜5.4",10352
210,郑政出〔2018〕179号（网）,石化路南、未来路西,28492.52,城镇住宅（地下为交通服务场站）,＜100,"＞1.1,＜3.8",42091
211,郑政出〔2018〕180号（网）,二里岗南街北、未来路西,4649.46,零售商业（加油加气站）,＜12,＜0.2,6987
212,郑政出〔2018〕181号（网）,桐柏路西、黄水街南,69551.39,城镇住宅兼容零售商业、餐饮、旅馆,＜100,"＞1.0,＜4.1",78549
213,郑政出〔2018〕182号（网）,创文路东、星海路南,27431.93,城镇住宅（地下为交通服务场站）,＜60,"＞1.1,＜2",24455
214,郑上出〔2018〕17号（网）,通航五路东侧、安阳路北侧,93643.23,商业兼容商务,＜45,＜2.5,21670
215,郑政出〔2018〕176号（网）,农场路东、鸿业路北,88756.93,城镇住宅（地下交通服务场站用地）,＜30,"＞1.1,＜1.3",75072
216,郑政出〔2018〕177号（网）,丰庆北路东、新龙路南,52879.97,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜4.2",74228
217,郑政出〔2018〕175号（网）,红梅街南、川杨路西,51395.4,城镇住宅（地下交通服务场站用地）,＜80,"＞1.1,＜2.5",43763
218,郑政出〔2018〕 168号（网）,经开第十六大街东、经南十三路北,80811.15,城镇住宅（地下交通服务场站、人防设施）,＜100,＞1.0、＜2.0,70(地下50)
219,郑政出〔2018〕 169号（网）,经南十四路以南、经开第十五大街东,62272.9,城镇住宅（地下交通服务场站用地）,＜100,＞1.0、＜2.5,70(地下50)
220,郑政出〔2018〕164号（网）,新城北路南、京水路东,26365.16,商务金融(地下交通服务场站),＜50,＜4,25784
221,郑政出〔2018〕165号（网）,郑峪路南、站前大道西,59486.4,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜3.5",64603
222,郑政出〔2018〕166号（网）,高铁北路北、创文路西,28240.79,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜3.5",30664
223,郑政出〔2018〕167号（网）,南宏路南、杏园路东,38229,城镇住宅,＜100,"＞1.0,＜3.5",36280
224,郑政出〔2018〕161号（网）,富贵路南、中州路西,36894.48,城镇住宅（地下交通服务场站用地）,＜80,"＞1.0,＜3",37811
225,郑政出〔2018〕162号（网）,富贵路南、中州路东,33348.66,城镇住宅（地下交通服务场站用地）,＜80,"＞1.0,＜3",34150
226,郑政出〔2018〕163号（网）,中原西路北辅道北、杭州路西,22060.31,商务金融兼容零售商业、餐饮、旅馆（地下空间用途为交通服务场站）,＜100,＜4,24820
227,郑政出〔2018〕156号（网）,阳春路南、渠南路西,89470.06,城镇住宅（地下交通服务场站用地）,＜100,"＞1,＜3.2",93180
228,郑政出〔2018〕157号（网）,百泉路北、杭州路东,35444.61,城镇住宅（地下交通服务场站用地）,＜80,"＞1.1,＜3.5",37872
229,郑政出〔2018〕158号（网）,航海西路南、伏牛路东,31731.97,城镇住宅兼容零售商业、餐饮、旅馆用地,＜100,"＞1.0,＜4.4",42717
230,郑政出〔2018〕159号（网）,杓袁中二街西、杓袁北路南,13696.3,城镇住宅（地下交通服务场站用地）,＜56,"＞1.1,＜3.8",15119
231,郑政出〔2018〕160号（网）,景怡路北、新庄东路东,20106.92,城镇住宅（地下交通服务场站用地）,＜50,"＞1.0,＜2.5",18321
