Column1,地块编号,宗地位置,地块面积（平方米）,用途,成交价格（万元）,受让单位
95,郑上出[2019]6号（网）,商业街西侧、济源路南侧,41658.21,城镇住宅兼容零售商业、批发市场、餐饮、旅馆,20224.0,豫商集团郑州置业有限公司
296,郑政经开出〔2018〕015号,经南十五路以南、经开第二十二大街以西,33307.27,工业用地,2070.0,郑州安新汽车隔音毡有限公司
103,郑政出〔2019〕40号（网）,飞翔路北、富国路西,22633.5,仓储用地（地下交通服务场站用地）,1908.0,郑州百利物流有限公司
5,郑政出〔2019〕91号（网）,杓袁中一街西、杓袁北路南,81208.12,城镇住宅（地下交通服务场站用地）,105142.0,郑州保利亨业房地产开发有限公司
34,郑政出〔2019〕71号（网）,杓袁南路北、杓袁东路西,59888.35,城镇住宅（地下交通服务场站用地）,77053.0,郑州保利亨业房地产开发有限公司
63,郑政经开出〔2019〕016号（网）,兰心东路以南、碧泉街以东、浔江东路以北、蓝湖街以西,33058.54,城镇住宅（地下交通服务场站用地）,40868.0,郑州保利亨业房地产开发有限公司
173,郑政出[2018]159号（网）,杓袁中二街西、杓袁北路南,13696.3,城镇住宅（地下交通服务场站）,15119.0,郑州保利亨业房地产开发有限公司
210,郑政出〔2018〕107号（网）,杓袁北路北、杓袁东路东,41309.62,城镇住宅,37336.0,郑州保利亨业房地产开发有限公司
211,郑政出〔2018〕108号（网）,杓袁北路南、杓袁东路东,10914.37,城镇住宅,10358.0,郑州保利亨业房地产开发有限公司
246,郑政经开出[2018]035号（网）,凤栖街以东、美辰路以南、花溪街以西、兰心东路以北,241289.41,仓储用地,11920.0,郑州达奥物流有限公司
145,郑政出[2019]7号（网）,少林路南、消防路西,5410.81,城镇住宅,10982.0,郑州大有永固置业有限公司
58,郑政出〔2019〕64号（网）,昌达路北、西四环路东,52132.25,城镇住宅（地下交通服务场站用地）,63832.0,郑州德宸祥苑有限公司
